Reg Code,Description
01,Andhra Pradesh
02,Arunachal Pradesh
03,Assam
04,Bihar
05,Goa
06,Gujarat
07,Haryana
08,Himachal Pradesh
09,Jammu and Kashmir
10,Karnataka
11,Kerala
12,Madhya Pradesh
13,Maharashtra
14,Manipur
15,Megalaya
16,Mizoram
17,Nagaland
18,Orissa
19,Punjab
20,Rajasthan
21,Sikkim
22,Tamil Nadu
23,Tripura
24,Uttar Pradesh
25,West Bengal
26,Andaman und Nico.in
27,Chandigarh
28,Dadra und Nagar Hav
29,Daman and Diu
30,Delhi
31,Lakshadweep
32,Pondicherry
33,Chhaattisgarh
34,Jharkhand
35,Uttaranchal
36,Telangana
37,Uttarakhand
